"PPTESTCD","label","ref_decimals","max_observed_pct","max_rounding_pct","precision_limited"
"AUCIFO","AUCinf(obs)","7-8",3.34065097540479e-08,4.9511014761004e-08,TRUE
"AUCLST","AUClast","7-8",3.99350048148699e-08,4.87169783556857e-08,TRUE
"AUCPEO","AUC %extrap(obs)","8-9",3.77463585242283e-08,4.93051593502517e-08,TRUE
"AUMCIFO","AUMCinf(obs)","3-7",2.49200344575329e-08,3.8053169410427e-05,TRUE
"AUMCLST","AUMClast","6-7",4.07248784497915e-08,6.16619613020063e-08,TRUE
"CLFO","CL/F(obs)","8-9",2.79700263261787e-08,2.12976143149342e-07,TRUE
"CLST","Clast","1-2",0,5.55555555555556,TRUE
"CMAX","Cmax","0-2",0,6.25,TRUE
"LAMZ","Lambda_z","8-9",4.72747530710173e-07,6.13869472197483e-06,TRUE
"LAMZHL","t1/2","8-9",7.669066713614e-09,3.49543346121281e-08,TRUE
"LAMZNPT","N points lambda_z","0",0,16.6666666666667,TRUE
"MRTEVIFO","MRTinf(obs)","7-8",3.7484311843529e-08,4.0339081932193e-07,TRUE
"R2ADJ","R2 adjusted","8-9",4.80089058390046e-08,5.00556954706794e-07,TRUE
"TLST","Tlast","1-2",0,0.210970464135021,TRUE
"TMAX","Tmax","0-2",0,50,TRUE
"VZFO","Vz/F(obs)","8",1.93634406334122e-08,2.1678314571776e-08,TRUE
